# ----------------------------------------
# Páginas e telas: Título da página e nome da tela
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Título da página e nome da tela,Página de destino + string de consulta,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
(not set),/selectTrip?originCode=47830&origin=CRISTOPOLIS%20-%20BA&destinationCode=50232&destination=SALVADOR%20-%20BA&departureDate=2026-05-12,30,1,30,658,44,6,0
(not set),/selectTrip?originCode=IGUATU%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-05-12,30,1,30,824,74,10,0
(not set),/selectTrip?originCode=PIRIPIRI%20-%20PI&destinationCode=TERESINA%20-%20PI&departureDate=2025-02-25,30,3,10,88.66666666666667,61,11,0
(not set),/selectTrip?originCode=SOBRAL%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-06-13,30,1,30,583,51,10,0
(not set),/selectTrip?originCode=39024&origin=QUIXERAMOBIM%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2025-09-13,29,1,29,594,54,12,0
(not set),/selectTrip?originCode=39024&origin=QUIXERAMOBIM%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-02-15,29,1,29,260,51,3,0
(not set),/selectTrip?originCode=39067&origin=TIANGUA%20-%20CE&destinationCode=50039&destination=TERESINA%20-%20PI&departureDate=2026-04-17,29,1,29,429,55,10,0
(not set),/selectTrip?originCode=42383&origin=MANGABEIRA%20-%20CE&destinationCode=48569&destination=CRATO%20-%20CE&departureDate=2026-04-19,29,1,29,534,63,7,0
(not set),/selectTrip?originCode=43217&origin=IPAUMIRIM%20-%20CE&destinationCode=42729&destination=LIMOEIRO%20DO%20NORTE%20(TRIANGULO)%20-%20CE&departureDate=2025-09-08,29,1,29,398,62,15,0
(not set),/selectTrip?originCode=48653&origin=PARNAIBA%20-%20PI&destinationCode=50039&destination=TERESINA%20-%20PI&departureDate=2025-08-14,29,1,29,2661,63,13,0
(not set),/selectTrip?originCode=48804&origin=SANTA%20LUZIA%20-%20PB&destinationCode=43470&destination=SOUSA%20-%20PB&departureDate=2025-09-26,29,1,29,446,52,4,0
(not set),/selectTrip?originCode=49738&origin=GOIANIA%20-%20GO&destinationCode=49181&destination=BRASILIA%20-%20DF&departureDate=2026-03-06,29,1,29,666,68,14,0
(not set),/selectTrip?originCode=49738&origin=GOIANIA+-+GO&destinationCode=49495&destination=RIO+DE+JANEIRO+-+RJ&departureDate=2026-02-20,29,1,29,669,65,14,0
(not set),/selectTrip?originCode=50039&origin=TERESINA%20-%20PI&destinationCode=48653&destination=PARNAIBA%20-%20PI&departureDate=2025-09-04,29,2,14.5,248.5,63,8,0
(not set),/selectTrip?originCode=50138&origin=SAO%20LUIS%20-%20MA&destinationCode=46142&destination=CAXIAS%20-%20MA&departureDate=2025-07-30,29,1,29,530,69,8,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48892&destination=CAMPINA%20GRANDE%20-%20PB&departureDate=2026-01-28,29,1,29,642,61,13,0
(not set),/selectTrip?originCode=FARIAS%20BRITO%20-%20CE&destinationCode=CRATO%20-%20CE&departureDate=2025-05-16,29,1,29,583,65,12,0
(not set),/selectTrip?originCode=FORTALEZA%20-%20CE&destinationCode=ITAPIPOCA%20-%20CE&departureDate=2025-03-10,29,1,29,528,59,9,0
(not set),/selectTrip?originCode=IGUATU%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-06-06,29,1,29,1455,62,12,0
(not set),/selectTrip?originCode=VALENCA%20-%20RJ&destinationCode=VOLTA%20REDONDA%20-%20RJ&departureDate=2025-03-01,29,2,14.5,289,45,1,0
(not set),/selectTrip?originCode=VARGEM%20GRANDE%20-%20MA&destinationCode=CHAPADINHA%20-%20MA&departureDate=2025-02-23,29,1,29,482,62,6,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=43626&destination=ACOPIARA%20-%20CE&departureDate=2025-07-08,28,1,28,721,43,3,0
(not set),/selectTrip?originCode=FORTALEZA%20-%20CE&destinationCode=PEDRA%20BRANCA%20-%20CE&departureDate=2025-03-22,28,1,28,1423,54,14,0
